Month,Russian,Spanish,Chinese,Portuguese,French,French Criole
2004-01,12,41,39,3,21,0
2004-02,10,51,18,3,28,0
2004-03,9,44,18,2,32,0
2004-04,10,48,21,3,25,0
2004-05,8,43,19,1,27,0
2004-06,9,36,17,3,20,0
2004-07,8,37,13,3,21,0
2004-08,11,45,17,1,19,0
2004-09,13,46,17,2,22,0
2004-10,10,55,16,1,25,0
2004-11,11,38,15,1,21,0
2004-12,12,37,20,2,27,0
2005-01,10,41,22,1,29,0
2005-02,10,47,26,1,25,0
2005-03,11,40,22,2,25,0
2005-04,9,48,21,3,22,0
2005-05,10,47,15,2,27,0
2005-06,9,33,20,2,23,0
2005-07,9,35,20,3,23,0
2005-08,12,44,15,2,21,0
2005-09,9,44,18,2,23,0
2005-10,8,52,18,2,24,0
2005-11,11,47,16,2,26,0
2005-12,10,46,16,2,30,0
2006-01,11,43,25,3,25,0
2006-02,11,46,21,2,26,0
2006-03,11,46,17,2,20,0
2006-04,12,47,19,2,24,0
2006-05,11,46,18,1,25,0
2006-06,10,38,15,2,24,0
2006-07,9,39,14,3,22,0
2006-08,7,44,14,2,18,0
2006-09,10,52,18,2,26,0
2006-10,11,49,16,1,21,0
2006-11,12,46,18,3,24,0
2006-12,13,45,18,2,20,0
2007-01,10,48,20,2,23,0
2007-02,12,42,23,2,27,0
2007-03,11,39,19,2,18,0
2007-04,9,42,17,2,23,0
2007-05,10,45,15,2,24,0
2007-06,10,36,17,1,22,0
2007-07,9,36,18,3,21,0
2007-08,9,45,16,2,22,0
2007-09,9,52,14,2,22,0
2007-10,11,50,18,1,22,0
2007-11,10,46,15,3,25,0
2007-12,10,44,23,2,23,0
2008-01,8,39,20,2,24,0
2008-02,9,38,27,3,20,0
2008-03,10,43,17,2,24,0
2008-04,8,43,18,1,21,0
2008-05,9,46,18,2,21,0
2008-06,9,38,16,2,23,0
2008-07,9,35,18,2,20,0
2008-08,10,41,23,3,21,0
2008-09,8,47,17,2,21,0
2008-10,7,49,18,2,23,0
2008-11,7,38,19,3,20,0
2008-12,9,42,20,2,22,0
2009-01,9,48,26,4,22,0
2009-02,9,45,17,2,21,0
2009-03,9,45,16,3,19,0
2009-04,9,49,21,4,22,0
2009-05,7,49,19,3,28,0
2009-06,8,41,19,2,24,0
2009-07,7,41,20,3,21,0
2009-08,7,46,19,3,20,0
2009-09,8,61,20,2,26,0
2009-10,9,52,18,3,23,0
2009-11,10,55,19,3,25,0
2009-12,10,47,20,3,26,0
2010-01,10,52,21,3,25,0
2010-02,8,53,24,2,26,0
2010-03,10,48,19,3,24,0
2010-04,9,49,21,3,24,0
2010-05,9,52,20,2,27,0
2010-06,8,46,21,2,27,0
2010-07,10,50,18,2,22,0
2010-08,8,51,20,2,22,0
2010-09,7,52,18,2,22,0
2010-10,8,54,18,2,24,0
2010-11,8,50,17,2,22,0
2010-12,9,48,19,3,24,0
2011-01,8,47,26,2,19,0
2011-02,7,46,25,3,22,0
2011-03,8,46,21,2,20,0
2011-04,8,48,20,2,22,0
2011-05,7,48,20,3,23,0
2011-06,7,49,20,3,24,0
2011-07,7,45,19,3,21,0
2011-08,7,46,19,2,19,0
2011-09,8,57,20,3,21,0
2011-10,6,50,20,3,22,0
2011-11,7,47,20,2,21,0
2011-12,8,42,23,2,22,0
2012-01,7,46,29,3,23,0
2012-02,6,45,21,2,21,0
2012-03,7,41,20,2,20,0
2012-04,7,43,21,3,21,0
2012-05,8,48,22,3,26,0
2012-06,6,42,20,3,29,0
2012-07,7,39,21,2,21,0
2012-08,7,43,20,2,22,0
2012-09,6,49,19,2,24,0
2012-10,6,47,20,2,24,0
2012-11,6,42,20,2,20,0
2012-12,8,42,21,2,22,0
2013-01,7,44,22,2,22,0
2013-02,11,45,25,2,23,0
2013-03,8,47,21,2,24,0
2013-04,8,45,21,2,22,0
2013-05,7,49,21,2,26,0
2013-06,7,42,22,2,28,0
2013-07,7,42,21,2,22,0
2013-08,7,47,21,3,22,0
2013-09,6,48,21,2,21,0
2013-10,6,49,20,2,21,0
2013-11,7,44,22,2,20,0
2013-12,8,43,25,2,23,0
2014-01,7,44,27,2,22,0
2014-02,11,47,25,3,22,0
2014-03,9,45,23,2,21,0
2014-04,8,48,24,2,25,0
2014-05,8,51,24,2,26,0
2014-06,8,49,21,3,26,0
2014-07,8,48,22,3,22,0
2014-08,8,51,22,2,22,0
2014-09,7,60,20,2,26,0
2014-10,7,60,21,3,24,0
2014-11,9,55,20,3,23,0
2014-12,9,55,25,2,23,0
2015-01,8,59,24,4,29,0
2015-02,8,54,27,3,24,0
2015-03,8,59,22,4,25,0
2015-04,9,61,21,2,24,0
2015-05,8,66,23,3,27,0
2015-06,8,59,23,3,25,0
2015-07,6,58,24,2,22,0
2015-08,6,63,23,3,23,0
2015-09,7,76,24,3,24,0
2015-10,9,70,23,2,23,0
2015-11,10,67,24,2,29,0
2015-12,9,63,26,3,25,0
2016-01,7,68,26,3,24,0
2016-02,7,68,30,3,25,0
2016-03,7,70,23,3,26,0
2016-04,7,70,25,3,27,0
2016-05,7,73,25,3,27,0
2016-06,7,67,24,3,25,0
2016-07,7,70,26,3,24,0
2016-08,8,72,23,3,24,0
2016-09,6,85,24,3,24,0
2016-10,7,77,23,2,24,0
2016-11,7,78,23,2,25,0
2016-12,11,74,26,3,24,0
2017-01,8,80,32,3,25,0
2017-02,9,81,25,3,26,0
2017-03,8,83,24,3,26,0
2017-04,9,85,27,3,29,0
2017-05,7,88,24,3,30,0
2017-06,8,83,24,3,31,0
2017-07,8,79,25,3,25,0
2017-08,7,87,23,4,24,0
2017-09,6,81,23,3,21,0
2017-10,7,93,22,3,25,0
2017-11,7,84,25,3,25,0
2017-12,8,89,27,4,26,0
2018-01,7,87,27,4,27,0
2018-02,9,91,31,4,28,0
2018-03,8,91,23,3,25,0
2018-04,9,95,24,3,25,0
2018-05,7,99,24,3,28,0
2018-06,8,91,24,4,31,0
2018-07,9,93,24,4,27,0
2018-08,7,100,24,4,24,0
2018-09,7,99,24,3,26,0
2018-10,7,100,23,4,24,0
2018-11,7,97,24,4,25,0
2018-12,8,91,29,4,27,0
2019-01,8,93,28,4,25,0
2019-02,10,96,30,5,25,0
2019-03,8,91,25,3,24,0
2019-04,7,92,25,4,25,0